year;month;day;temp_max;temp_min;was_raining_previous_day
2019;12;28;0;-1;0
2019;12;29;0;-1;0
2019;12;30;4;0;1
2019;12;31;5;2;0
2020;01;01;1;-6;0
2020;01;02;4;-1;0
2020;01;03;4;-4;1
2020;01;04;3;1;0
2020;01;05;1;0;0
2020;01;06;0;-5;0
2020;01;07;2;0;1
2020;01;08;3;-3;1
2020;01;09;5;3;1
2020;01;10;6;0;0
2020;01;11;6;3;0
2020;01;12;4;2;0
2020;01;13;5;3;0
2020;01;14;4;0;0
2020;01;15;6;2;0
2020;01;16;6;3;0
2020;01;17;4;1;0
2020;01;18;4;-3;0
2020;01;19;4;0;0
2020;01;20;3;0;0
2020;01;21;4;1;0
2020;01;22;5;2;0
2020;01;23;2;0;0
2020;01;24;2;0;0
2020;01;25;3;0;0
2020;01;26;3;1;0
2020;01;27;4;0;0
2020;01;28;5;1;1
2020;01;29;2;-2;1
2020;01;30;3;-3;1
2020;01;31;7;1;1
2020;02;01;9;6;1
2020;02;02;7;4;1
2020;02;03;3;3;1
2020;02;04;4;3;0
2020;02;05;1;0;0
2020;02;06;3;0;1
2020;02;07;1;0;0
2020;02;08;3;0;0
2020;02;09;5;0;1
2020;02;10;9;1;1
2020;02;11;3;-3;0
2020;02;12;3;0;0
2020;02;13;3;0;0
2020;02;14;3;1;0
2020;02;15;4;0;0
2020;02;16;8;2;1
2020;02;17;11;7;1
2020;02;18;8;5;0
2020;02;19;6;2;1
2020;02;20;4;2;1
2020;02;21;5;2;0
2020;02;22;7;1;1
2020;02;23;5;2;1
2020;02;24;5;1;1
2020;02;25;9;3;1
2020;02;26;16;9;1
2020;02;27;3;1;1
2020;02;28;5;0;0
2020;02;29;6;0;1
2020;03;01;9;3;1
2020;03;02;6;4;1
2020;03;03;9;3;0
2020;03;04;8;5;0
2020;03;05;8;3;0
2020;03;06;7;3;0
2020;03;07;9;4;1
2020;03;08;6;3;0
2020;03;09;9;2;0
2020;03;10;11;4;1
2020;03;11;11;7;1
2020;03;12;12;7;1
2020;03;13;8;4;1
2020;03;14;3;0;0
2020;03;15;5;0;0
2020;03;16;10;1;0
2020;03;17;12;5;0
2020;03;18;15;8;0
2020;03;19;15;8;0
2020;03;20;10;6;0
2020;03;21;4;0;0
2020;03;22;3;0;0
2020;03;23;4;-1;0
2020;03;24;5;-1;0
2020;03;25;6;0;0
2020;03;26;9;0;0
2020;03;27;12;2;0
2020;03;28;15;4;1
2020;03;29;9;0;1
2020;03;30;3;-1;1
2020;03;31;6;0;0
2020;04;01;7;0;0
2020;04;02;8;1;0
2020;04;03;9;4;0
2020;04;04;9;3;0
2020;04;05;13;4;0
